run_id,combined_tput_mib_s,concurrency,cpu_util_pct,dataset_gb_executed,endpoint_internal,paradigm,phases_present,provider,read_p99_ms,read_tput_mib_s,rep,timelimit,workload,write_p99_ms,write_tput_mib_s
aws-block-largeobj-c04-r3,125.21,4,91.4,40,,block,READ,aws,741.455,125.21,3,False,largeobj,,
aws-block-largeobj-c16-r1,124.64,16,97.0,40,,block,READ,aws,3526.975,124.64,1,False,largeobj,,
aws-block-largeobj-c16-r2,124.64,16,96.9,40,,block,READ,aws,3526.975,124.64,2,False,largeobj,,
aws-block-largeobj-c16-r3,125.23,16,96.9,40,,block,READ,aws,3526.975,125.23,3,False,largeobj,,
aws-block-largeobj-c64-r1,125.28,64,97.0,40,,block,READ,aws,11863.283,125.28,1,False,largeobj,,
aws-block-largeobj-c64-r2,125.28,64,97.0,40,,block,READ,aws,14107.901,125.28,2,False,largeobj,,
aws-block-largeobj-c64-r3,125.28,64,97.0,40,,block,READ,aws,14107.901,125.28,3,False,largeobj,,
aws-file-balanced-c01-r1,56.79,1,19.5,1,,file,WRITE+READ,aws,1.448,79.94,1,False,balanced,1.722,44.03
aws-file-balanced-c01-r2,56.87,1,19.5,1,,file,WRITE+READ,aws,1.448,80.17,2,False,balanced,1.722,44.07
aws-file-balanced-c01-r3,56.92,1,24.5,20,,file,WRITE+READ,aws,1.448,80.13,3,False,balanced,1.722,44.14
aws-file-balanced-c04-r1,125.2,4,53.0,20,,file,WRITE+READ,aws,2.896,125.2,1,False,balanced,2.435,125.2
aws-file-balanced-c04-r2,125.2,4,55.5,20,,file,WRITE+READ,aws,2.896,125.2,2,False,balanced,2.435,125.19
aws-file-balanced-c04-r3,125.2,4,56.0,20,,file,WRITE+READ,aws,2.896,125.19,3,False,balanced,2.435,125.2
aws-file-balanced-c16-r1,125.2,16,86.8,20,,file,WRITE+READ,aws,11.585,125.54,1,False,balanced,11.585,124.85
aws-file-balanced-c16-r2,125.2,16,89.7,20,,file,WRITE+READ,aws,13.777,125.52,2,False,balanced,11.585,124.87
aws-file-balanced-c16-r3,173.58,16,6.3,20,,file,WRITE+READ,aws,5.793,306.48,3,False,balanced,16.384,121.07
aws-file-balanced-c64-r1,125.2,64,97.1,20,,file,WRITE+READ,aws,65.536,125.2,1,False,balanced,77.936,125.2
aws-file-balanced-c64-r2,125.2,64,97.1,20,,file,WRITE+READ,aws,77.936,125.19,2,False,balanced,65.536,125.21
aws-file-balanced-c64-r3,125.2,64,97.1,20,,file,WRITE+READ,aws,77.936,125.2,3,False,balanced,65.536,125.21
aws-file-largeobj-c01-r1,125.2,1,24.6,40,,file,READ,aws,131.072,125.2,1,False,largeobj,,
aws-file-largeobj-c01-r2,500.23,1,3.9,40,,file,READ,aws,32.768,500.23,2,False,largeobj,,
aws-file-largeobj-c01-r3,125.2,1,24.6,40,,file,READ,aws,131.072,125.2,3,False,largeobj,,
aws-file-largeobj-c04-r1,125.2,4,91.8,40,,file,READ,aws,741.455,125.2,1,False,largeobj,,
aws-file-largeobj-c04-r2,500.17,4,1.6,40,,file,READ,aws,131.072,500.17,2,False,largeobj,,
aws-file-largeobj-c04-r3,125.2,4,90.2,40,,file,READ,aws,741.455,125.2,3,False,largeobj,,
aws-file-largeobj-c16-r1,125.21,16,96.9,40,,file,READ,aws,3526.975,125.21,1,False,largeobj,,
aws-file-largeobj-c16-r2,500.31,16,1.1,40,,file,READ,aws,524.288,500.31,2,False,largeobj,,
aws-file-largeobj-c16-r3,500.25,16,1.1,40,,file,READ,aws,524.288,500.25,3,False,largeobj,,
aws-file-largeobj-c64-r1,501.36,64,1.3,40,,file,READ,aws,2097.152,501.36,1,False,largeobj,,
aws-file-largeobj-c64-r2,125.27,64,97.0,40,,file,READ,aws,11863.283,125.27,2,False,largeobj,,
aws-file-largeobj-c64-r3,125.27,64,97.0,40,,file,READ,aws,11863.283,125.27,3,False,largeobj,,
aws-object-balanced-c01-r1,2.47,1,0.6,1.0,False,object,WRITE+READ,aws,38.968,2.54,1,False,balanced,46.341,2.39
aws-object-balanced-c01-r2,2.53,1,0.6,1.0,False,object,WRITE+READ,aws,38.968,2.57,2,False,balanced,46.341,2.48
aws-object-balanced-c01-r3,2.49,1,0.6,1.0,False,object,WRITE+READ,aws,32.768,2.6,3,False,balanced,46.341,2.39
aws-object-balanced-c04-r1,8.45,4,2.0,5.0,False,object,WRITE+READ,aws,65.536,7.18,1,False,balanced,38.968,10.27
aws-object-balanced-c04-r2,10.1,4,2.4,5.0,False,object,WRITE+READ,aws,38.968,10.25,2,False,balanced,46.341,9.94
aws-object-balanced-c04-r3,8.84,4,2.3,5.0,False,object,WRITE+READ,aws,65.536,7.83,3,False,balanced,38.968,10.15
aws-object-balanced-c16-r1,35.71,16,9.0,20.0,False,object,WRITE+READ,aws,55.109,32.52,1,False,balanced,38.968,39.6
aws-object-balanced-c16-r2,38.87,16,10.1,20.0,False,object,WRITE+READ,aws,46.341,38.92,2,False,balanced,46.341,38.82
aws-object-balanced-c16-r3,38.27,16,10.0,20.0,False,object,WRITE+READ,aws,55.109,37.4,3,False,balanced,46.341,39.18
aws-object-balanced-c64-r1,153.44,64,47.6,20.0,False,object,WRITE+READ,aws,32.768,161.14,1,False,balanced,46.341,146.43
aws-object-balanced-c64-r2,153.72,64,48.0,20.0,False,object,WRITE+READ,aws,32.768,162.6,2,False,balanced,46.341,145.75
aws-object-balanced-c64-r3,155.93,64,50.2,20.0,False,object,WRITE+READ,aws,32.768,164.02,3,False,balanced,46.341,148.6
aws-object-largeobj-c01-r1,93.76,1,5.0,40.0,False,object,READ,aws,185.364,93.76,1,False,largeobj,,
aws-object-largeobj-c01-r2,93.91,1,4.3,2.0,False,object,READ,aws,185.364,93.91,2,False,largeobj,,
aws-object-largeobj-c01-r3,93.61,1,4.8,40.0,False,object,READ,aws,185.364,93.61,3,False,largeobj,,
aws-object-largeobj-c04-r1,373.94,4,28.5,40.0,False,object,READ,aws,185.364,373.94,1,False,largeobj,,
aws-object-largeobj-c04-r2,374.61,4,28.9,40.0,False,object,READ,aws,185.364,374.61,2,False,largeobj,,
aws-object-largeobj-c04-r3,374.59,4,29.9,40.0,False,object,READ,aws,185.364,374.59,3,False,largeobj,,
aws-object-largeobj-c16-r1,940.48,16,80.8,40.0,False,object,READ,aws,370.728,940.48,1,False,largeobj,,
aws-object-largeobj-c16-r2,903.62,16,80.9,40.0,False,object,READ,aws,370.728,903.62,2,False,largeobj,,
aws-object-largeobj-c16-r3,813.21,16,79.6,40.0,False,object,READ,aws,440.872,813.21,3,False,largeobj,,
aws-object-largeobj-c64-r1,985.33,64,80.6,40.0,False,object,READ,aws,1482.91,985.33,1,False,largeobj,,
aws-object-largeobj-c64-r2,963.27,64,80.7,40.0,False,object,READ,aws,1763.488,963.27,2,False,largeobj,,
aws-object-largeobj-c64-r3,982.65,64,81.0,40.0,False,object,READ,aws,1763.488,982.65,3,False,largeobj,,
azure-block-balanced-c01-r1,26.55,1,22.2,1,,block,WRITE+READ,azure,4.871,24.91,1,True,balanced,5.793,28.42
azure-block-balanced-c01-r2,27.02,1,22.2,1,,block,WRITE+READ,azure,5.793,24.96,2,True,balanced,5.793,29.45
azure-block-balanced-c01-r3,27.31,1,22.3,1,,block,WRITE+READ,azure,5.793,25.42,3,True,balanced,4.871,29.51
azure-block-balanced-c04-r1,35.43,4,76.5,5,,block,WRITE+READ,azure,46.341,37.83,1,True,balanced,55.109,33.33
azure-block-balanced-c04-r2,35.45,4,74.0,5,,block,WRITE+READ,azure,55.109,38.23,2,True,balanced,46.341,33.04
azure-block-balanced-c04-r3,35.81,4,55.0,20,,block,WRITE+READ,azure,46.341,38.22,3,False,balanced,38.968,33.68
azure-block-balanced-c16-r1,35.69,16,55.1,20,,block,WRITE+READ,azure,65.536,38.25,1,False,balanced,65.536,33.46
azure-block-balanced-c16-r2,34.34,16,51.1,20,,block,WRITE+READ,azure,65.536,38.25,2,False,balanced,77.936,31.16
azure-block-balanced-c16-r3,28.9,16,32.6,20,,block,WRITE,azure,,,3,True,balanced,77.936,28.9
azure-block-balanced-c64-r1,29.18,64,33.3,80,,block,WRITE,azure,,,1,True,balanced,311.744,29.18
azure-block-balanced-c64-r2,27.52,64,32.4,80,,block,WRITE,azure,,,2,True,balanced,311.744,27.52
azure-block-balanced-c64-r3,28.17,64,32.8,80,,block,WRITE,azure,,,3,True,balanced,311.744,28.17
azure-block-largeobj-c01-r1,145.96,1,24.3,40,,block,READ,azure,185.364,145.96,1,False,largeobj,,
azure-block-largeobj-c01-r2,145.96,1,24.3,40,,block,READ,azure,185.364,145.96,2,False,largeobj,,
azure-block-largeobj-c01-r3,139.93,1,24.3,40,,block,READ,azure,220.436,139.93,3,False,largeobj,,
azure-block-largeobj-c04-r1,141.35,4,95.3,40,,block,READ,azure,741.455,141.35,1,False,largeobj,,
azure-block-largeobj-c04-r2,145.91,4,73.1,40,,block,READ,azure,524.288,145.91,2,False,largeobj,,
azure-block-largeobj-c04-r3,145.91,4,55.1,40,,block,READ,azure,524.288,145.91,3,False,largeobj,,
azure-block-largeobj-c16-r1,145.98,16,96.7,40,,block,READ,azure,2097.152,145.98,1,False,largeobj,,
azure-block-largeobj-c16-r2,145.41,16,96.7,40,,block,READ,azure,2097.152,145.41,2,False,largeobj,,
azure-block-largeobj-c16-r3,140.43,16,96.8,40,,block,READ,azure,2965.821,140.43,3,False,largeobj,,
azure-block-largeobj-c64-r1,128.92,64,96.7,40,,block,READ,azure,47453.133,128.92,1,False,largeobj,,
azure-block-largeobj-c64-r2,145.96,64,96.7,40,,block,READ,azure,33554.432,145.96,2,False,largeobj,,
azure-block-largeobj-c64-r3,145.96,64,95.1,40,,block,READ,azure,47453.133,145.96,3,False,largeobj,,
azure-file-balanced-c01-r1,13.39,1,1.3,1,,file,WRITE+READ,azure,11.585,14.95,1,True,balanced,13.777,12.12
azure-file-balanced-c01-r2,13.95,1,1.4,1,,file,WRITE+READ,azure,11.585,15.78,2,True,balanced,13.777,12.5
azure-file-balanced-c01-r3,18.53,1,1.6,1,,file,WRITE+READ,azure,5.793,20.03,3,True,balanced,6.889,17.23
azure-file-balanced-c04-r1,40.57,4,4.0,20,,file,WRITE+READ,azure,19.484,33.89,1,False,balanced,11.585,50.53
azure-file-balanced-c04-r2,44.69,4,4.2,20,,file,WRITE+READ,azure,13.777,37.64,2,False,balanced,9.742,54.98
azure-file-balanced-c04-r3,41.24,4,4.0,20,,file,WRITE+READ,azure,19.484,34.12,3,False,balanced,11.585,52.11
azure-file-balanced-c16-r1,206.37,16,14.7,20,,file,WRITE+READ,azure,8.192,197.62,1,False,balanced,6.889,215.94
azure-file-balanced-c16-r2,207.41,16,14.2,20,,file,WRITE+READ,azure,8.192,198.92,2,False,balanced,8.192,216.66
azure-file-balanced-c16-r3,195.38,16,14.5,20,,file,WRITE+READ,azure,13.777,181.29,3,False,balanced,13.777,211.86
azure-file-balanced-c64-r1,227.36,64,16.3,20,,file,WRITE+READ,azure,23.17,239.05,1,False,balanced,27.554,216.76
azure-file-balanced-c64-r2,206.58,64,15.0,20,,file,WRITE+READ,azure,38.968,235.97,2,False,balanced,110.218,183.71
azure-file-balanced-c64-r3,227.31,64,15.9,20,,file,WRITE+READ,azure,27.554,240.22,3,False,balanced,23.17,215.72
azure-file-largeobj-c01-r1,154.85,1,6.7,40,,file,READ,azure,185.364,154.85,1,False,largeobj,,
azure-file-largeobj-c01-r2,151.2,1,6.2,40,,file,READ,azure,220.436,151.2,2,False,largeobj,,
azure-file-largeobj-c01-r3,152.86,1,7.0,40,,file,READ,azure,185.364,152.86,3,False,largeobj,,
azure-file-largeobj-c04-r1,236.79,4,8.4,40,,file,READ,azure,440.872,236.79,1,False,largeobj,,
azure-file-largeobj-c04-r2,240.22,4,8.5,40,,file,READ,azure,440.872,240.22,2,False,largeobj,,
azure-file-largeobj-c04-r3,233.05,4,8.4,40,,file,READ,azure,440.872,233.05,3,False,largeobj,,
azure-file-largeobj-c16-r1,235.06,16,8.7,40,,file,READ,azure,1763.488,235.06,1,False,largeobj,,
azure-file-largeobj-c16-r2,222.8,16,8.4,40,,file,READ,azure,2097.152,222.8,2,False,largeobj,,
azure-file-largeobj-c16-r3,226.56,16,9.1,40,,file,READ,azure,1763.488,226.56,3,False,largeobj,,
azure-file-largeobj-c64-r1,136.18,64,30.5,40,,file,READ,azure,11863.283,136.18,1,False,largeobj,,
azure-file-largeobj-c64-r2,218.77,64,43.4,40,,file,READ,azure,7053.95,218.77,2,False,largeobj,,
azure-file-largeobj-c64-r3,91.61,64,21.0,40,,file,READ,azure,19951.585,91.61,3,False,largeobj,,
azure-object-balanced-c01-r1,7.64,1,10.7,,,object,WRITE+READ,azure,14.237,8.51,1,False,balanced,17.22,6.78
azure-object-balanced-c01-r2,9.1,1,13.0,,,object,WRITE+READ,azure,8.526,9.95,2,False,balanced,11.321,8.26
azure-object-balanced-c01-r3,7.03,1,10.1,,,object,WRITE+READ,azure,14.459,7.53,3,False,balanced,18.589,6.53
azure-object-balanced-c04-r1,32.72,4,61.2,,,object,WRITE+READ,azure,9.155,36.61,1,False,balanced,13.142,28.82
azure-object-balanced-c04-r2,31.71,4,61.7,,,object,WRITE+READ,azure,9.737,35.49,2,False,balanced,13.764,27.93
azure-object-balanced-c04-r3,32.03,4,61.2,,,object,WRITE+READ,azure,9.753,35.28,3,False,balanced,13.313,28.79
azure-object-balanced-c16-r1,43.81,16,99.8,,,object,WRITE+READ,azure,24.88,54.73,1,False,balanced,44.703,32.88
azure-object-balanced-c16-r2,42.5,16,99.8,,,object,WRITE+READ,azure,27.22,53.42,2,False,balanced,47.96,31.58
azure-object-balanced-c16-r3,41.94,16,99.8,,,object,WRITE+READ,azure,26.832,52.64,3,False,balanced,48.636,31.23
azure-object-balanced-c64-r1,37.65,64,99.7,,,object,WRITE+READ,azure,127.552,46.37,1,False,balanced,212.115,28.93
azure-object-balanced-c64-r2,38.9,64,99.9,,,object,WRITE+READ,azure,165.643,49.03,2,False,balanced,311.188,28.77
azure-object-balanced-c64-r3,38.6,64,99.9,,,object,WRITE+READ,azure,167.672,48.36,3,False,balanced,314.487,28.83
azure-object-largeobj-c01-r1,107.44,1,7.5,,,object,READ,azure,206.078,107.44,1,False,largeobj,,
azure-object-largeobj-c01-r2,106.98,1,7.5,,,object,READ,azure,212.467,106.98,2,False,largeobj,,
azure-object-largeobj-c01-r3,102.52,1,7.4,,,object,READ,azure,219.978,102.52,3,False,largeobj,,
azure-object-largeobj-c04-r1,317.18,4,28.3,,,object,READ,azure,303.491,317.18,1,False,largeobj,,
azure-object-largeobj-c04-r2,312.68,4,25.6,,,object,READ,azure,288.114,312.68,2,False,largeobj,,
azure-object-largeobj-c04-r3,384.66,4,35.7,,,object,READ,azure,237.234,384.66,3,False,largeobj,,
azure-object-largeobj-c16-r1,583.6,16,69.6,,,object,READ,azure,681.744,583.6,1,False,largeobj,,
azure-object-largeobj-c16-r2,563.28,16,69.6,,,object,READ,azure,649.052,563.28,2,False,largeobj,,
azure-object-largeobj-c16-r3,736.14,16,69.5,,,object,READ,azure,667.805,736.14,3,False,largeobj,,
azure-object-largeobj-c64-r1,473.19,64,71.2,,,object,READ,azure,2556.314,473.19,1,False,largeobj,,
azure-object-largeobj-c64-r2,464.71,64,70.9,,,object,READ,azure,2496.22,464.71,2,False,largeobj,,
azure-object-largeobj-c64-r3,475.44,64,71.1,,,object,READ,azure,2521.252,475.44,3,False,largeobj,,
gcp-block-balanced-c01-r1,93.88,1,24.0,20,,block,WRITE+READ,gcp,1.024,111.03,1,False,balanced,1.218,81.32
gcp-block-balanced-c01-r2,94.59,1,23.9,20,,block,WRITE+READ,gcp,1.024,109.65,2,False,balanced,1.218,83.17
gcp-block-balanced-c01-r3,89.38,1,24.0,20,,block,WRITE+READ,gcp,1.024,103.59,3,False,balanced,1.218,78.61
gcp-block-balanced-c04-r1,148.3,4,55.8,20,,block,WRITE+READ,gcp,1.722,239.75,1,False,balanced,6.889,107.35
gcp-block-balanced-c04-r2,147.95,4,56.0,20,,block,WRITE+READ,gcp,1.722,240.07,2,False,balanced,6.889,106.92
gcp-block-balanced-c04-r3,150.0,4,56.0,20,,block,WRITE+READ,gcp,1.722,239.91,3,False,balanced,6.889,109.11
gcp-block-balanced-c16-r1,147.24,16,55.1,20,,block,WRITE+READ,gcp,4.871,240.21,1,False,balanced,23.17,106.15
gcp-block-balanced-c16-r2,144.78,16,54.9,20,,block,WRITE+READ,gcp,4.871,240.23,2,False,balanced,23.17,103.61
gcp-block-balanced-c16-r3,158.18,16,58.1,20,,block,WRITE+READ,gcp,4.871,240.21,3,False,balanced,19.484,117.91
gcp-block-balanced-c64-r1,144.17,64,54.7,20,,block,WRITE+READ,gcp,19.484,240.23,1,False,balanced,92.682,102.99
gcp-block-balanced-c64-r2,143.7,64,55.5,20,,block,WRITE+READ,gcp,19.484,240.23,2,False,balanced,92.682,102.51
gcp-block-balanced-c64-r3,147.48,64,55.4,20,,block,WRITE+READ,gcp,19.484,240.22,3,False,balanced,92.682,106.4
gcp-block-largeobj-c01-r1,239.95,1,24.9,40,,block,READ,gcp,77.936,239.95,1,False,largeobj,,
gcp-block-largeobj-c01-r2,240.07,1,24.0,40,,block,READ,gcp,77.936,240.07,2,False,largeobj,,
gcp-block-largeobj-c01-r3,240.03,1,23.6,40,,block,READ,gcp,77.936,240.03,3,False,largeobj,,
gcp-block-largeobj-c04-r1,239.95,4,81.2,40,,block,READ,gcp,311.744,239.95,1,False,largeobj,,
gcp-block-largeobj-c04-r2,240.02,4,52.5,40,,block,READ,gcp,311.744,240.02,2,False,largeobj,,
gcp-block-largeobj-c04-r3,240.01,4,47.4,40,,block,READ,gcp,311.744,240.01,3,False,largeobj,,
gcp-block-largeobj-c16-r1,240.07,16,94.7,40,,block,READ,gcp,1246.974,240.07,1,False,largeobj,,
gcp-block-largeobj-c16-r2,240.07,16,94.3,40,,block,READ,gcp,1246.974,240.07,2,False,largeobj,,
gcp-block-largeobj-c16-r3,240.05,16,93.3,40,,block,READ,gcp,1246.974,240.05,3,False,largeobj,,
gcp-block-largeobj-c64-r1,240.11,64,94.8,40,,block,READ,gcp,4987.896,240.11,1,False,largeobj,,
gcp-block-largeobj-c64-r2,240.11,64,94.8,40,,block,READ,gcp,4987.896,240.11,2,False,largeobj,,
gcp-block-largeobj-c64-r3,240.11,64,94.8,40,,block,READ,gcp,5931.642,240.11,3,False,largeobj,,
gcp-file-balanced-c01-r1,46.32,1,4.8,20,,file,WRITE+READ,gcp,0.609,179.11,1,False,balanced,2.896,26.6
gcp-file-balanced-c01-r2,50.83,1,5.0,20,,file,WRITE+READ,gcp,0.609,183.83,2,False,balanced,2.896,29.5
gcp-file-balanced-c01-r3,50.19,1,4.7,20,,file,WRITE+READ,gcp,0.609,182.33,3,False,balanced,2.896,29.1
gcp-file-balanced-c04-r1,177.32,4,12.6,20,,file,WRITE+READ,gcp,0.861,621.25,1,False,balanced,4.871,103.42
gcp-file-balanced-c04-r2,176.71,4,11.6,20,,file,WRITE+READ,gcp,2.896,555.77,2,False,balanced,4.096,105.06
gcp-file-balanced-c04-r3,188.5,4,12.7,20,,file,WRITE+READ,gcp,0.724,620.44,3,False,balanced,4.096,111.14
gcp-file-balanced-c16-r1,142.62,16,8.7,20,,file,WRITE+READ,gcp,16.384,635.81,1,False,balanced,23.17,80.32
gcp-file-balanced-c16-r2,141.11,16,8.9,20,,file,WRITE+READ,gcp,16.384,638.98,2,False,balanced,23.17,79.31
gcp-file-balanced-c16-r3,147.03,16,9.7,20,,file,WRITE+READ,gcp,16.384,661.16,3,False,balanced,23.17,82.71
gcp-file-balanced-c64-r1,174.47,64,9.7,20,,file,WRITE+READ,gcp,19.484,929.01,1,False,balanced,77.936,96.28
gcp-file-balanced-c64-r2,175.73,64,9.6,20,,file,WRITE+READ,gcp,19.484,986.66,2,False,balanced,77.936,96.45
gcp-file-balanced-c64-r3,174.96,64,10.0,20,,file,WRITE+READ,gcp,19.484,958.35,3,False,balanced,77.936,96.27
gcp-file-largeobj-c01-r1,157.93,1,4.1,40,,file,READ,gcp,185.364,157.93,1,False,largeobj,,
gcp-file-largeobj-c01-r2,158.6,1,2.6,40,,file,READ,gcp,185.364,158.6,2,False,largeobj,,
gcp-file-largeobj-c01-r3,158.09,1,2.4,40,,file,READ,gcp,185.364,158.09,3,False,largeobj,,
gcp-file-largeobj-c04-r1,138.61,4,2.6,40,,file,READ,gcp,741.455,138.61,1,False,largeobj,,
gcp-file-largeobj-c04-r2,138.46,4,2.5,40,,file,READ,gcp,741.455,138.46,2,False,largeobj,,
gcp-file-largeobj-c04-r3,139.01,4,2.5,40,,file,READ,gcp,741.455,139.01,3,False,largeobj,,
gcp-file-largeobj-c16-r1,211.47,16,5.1,40,,file,READ,gcp,4987.896,211.47,1,False,largeobj,,
gcp-file-largeobj-c16-r2,167.08,16,3.1,40,,file,READ,gcp,4987.896,167.08,2,False,largeobj,,
gcp-file-largeobj-c16-r3,204.65,16,3.8,40,,file,READ,gcp,4987.896,204.65,3,False,largeobj,,
gcp-file-largeobj-c64-r1,144.73,64,2.5,40,,file,READ,gcp,19951.585,144.73,1,False,largeobj,,
gcp-file-largeobj-c64-r2,204.51,64,3.6,40,,file,READ,gcp,19951.585,204.51,2,False,largeobj,,
gcp-file-largeobj-c64-r3,223.91,64,4.2,40,,file,READ,gcp,19951.585,223.91,3,False,largeobj,,
gcp-object-balanced-c01-r1,1.64,1,0.7,1.0,False,object,WRITE+READ,gcp,77.936,1.63,1,False,balanced,65.536,1.64
gcp-object-balanced-c01-r2,1.73,1,0.8,1.0,False,object,WRITE+READ,gcp,65.536,1.76,2,False,balanced,77.936,1.71
gcp-object-balanced-c01-r3,1.7,1,0.8,1.0,False,object,WRITE+READ,gcp,65.536,1.68,3,False,balanced,55.109,1.71
gcp-object-balanced-c04-r1,7.14,4,3.3,5.0,False,object,WRITE+READ,gcp,65.536,7.0,1,False,balanced,46.341,7.28
gcp-object-balanced-c04-r2,6.95,4,2.9,5.0,False,object,WRITE+READ,gcp,65.536,6.87,2,False,balanced,46.341,7.04
gcp-object-balanced-c04-r3,7.67,4,3.3,5.0,False,object,WRITE+READ,gcp,65.536,8.44,3,False,balanced,55.109,7.03
gcp-object-balanced-c16-r1,27.42,16,12.1,20.0,False,object,WRITE+READ,gcp,65.536,30.55,1,False,balanced,55.109,24.87
gcp-object-balanced-c16-r2,27.76,16,11.4,20.0,False,object,WRITE+READ,gcp,65.536,30.02,2,False,balanced,55.109,25.82
gcp-object-balanced-c16-r3,27.44,16,10.7,20.0,False,object,WRITE+READ,gcp,65.536,29.54,3,False,balanced,55.109,25.62
gcp-object-balanced-c64-r1,102.71,64,41.1,80.0,False,object,WRITE+READ,gcp,65.536,124.39,1,False,balanced,155.872,87.47
gcp-object-balanced-c64-r2,103.39,64,40.2,80.0,False,object,WRITE+READ,gcp,65.536,122.69,2,False,balanced,155.872,89.33
gcp-object-balanced-c64-r3,102.95,64,46.8,80.0,False,object,WRITE+READ,gcp,65.536,123.69,3,False,balanced,155.872,88.16
gcp-object-largeobj-c01-r1,211.0,1,8.3,2.0,False,object,READ,gcp,110.218,211.0,1,False,largeobj,,
gcp-object-largeobj-c01-r2,199.11,1,7.6,2.0,False,object,READ,gcp,440.872,199.11,2,False,largeobj,,
gcp-object-largeobj-c01-r3,200.23,1,9.1,2.0,False,object,READ,gcp,110.218,200.23,3,False,largeobj,,
gcp-object-largeobj-c04-r1,472.26,4,43.9,10.0,False,object,READ,gcp,220.436,472.26,1,False,largeobj,,
gcp-object-largeobj-c04-r2,566.09,4,44.9,10.0,False,object,READ,gcp,155.872,566.09,2,False,largeobj,,
gcp-object-largeobj-c04-r3,519.27,4,43.7,10.0,False,object,READ,gcp,524.288,519.27,3,False,largeobj,,
gcp-object-largeobj-c16-r1,728.7,16,84.3,40.0,False,object,READ,gcp,524.288,728.7,1,False,largeobj,,
gcp-object-largeobj-c16-r2,755.37,16,84.2,40.0,False,object,READ,gcp,440.872,755.37,2,False,largeobj,,
gcp-object-largeobj-c16-r3,744.7,16,83.6,40.0,False,object,READ,gcp,440.872,744.7,3,False,largeobj,,
gcp-object-largeobj-c64-r1,751.5,64,91.9,80.0,False,object,READ,gcp,1763.488,751.5,1,False,largeobj,,
gcp-object-largeobj-c64-r2,710.0,64,91.9,80.0,False,object,READ,gcp,1763.488,710.0,2,False,largeobj,,
gcp-object-largeobj-c64-r3,750.9,64,92.1,80.0,False,object,READ,gcp,1763.488,750.9,3,False,largeobj,,
huawei-block-balanced-c01-r1,82.19,1,24.6,20,,block,WRITE+READ,huawei,1.722,88.23,1,False,balanced,2.048,76.93
huawei-block-balanced-c01-r2,98.94,1,24.5,20,,block,WRITE+READ,huawei,1.722,100.44,2,False,balanced,1.722,97.49
huawei-block-balanced-c01-r3,88.69,1,24.6,20,,block,WRITE+READ,huawei,2.048,105.4,3,False,balanced,2.435,76.55
huawei-block-balanced-c04-r1,145.22,4,45.3,20,,block,WRITE+READ,huawei,2.896,336.49,1,False,balanced,8.192,92.59
huawei-block-balanced-c04-r2,154.07,4,46.0,20,,block,WRITE+READ,huawei,1.722,342.56,2,False,balanced,6.889,99.39
huawei-block-balanced-c04-r3,124.04,4,41.9,20,,block,WRITE+READ,huawei,2.048,340.86,3,False,balanced,9.742,75.82
