seed,draw,lr_raw,converged,method,n_warnings
43,32,0.354709,True,default,5
43,33,0.870459,True,default,2
43,34,0.015948,True,default,4
43,35,1.645655,True,default,1
43,36,0.928187,True,default,5
43,37,0.233491,True,default,1
43,38,0.71867,True,powell,2
43,39,-inf,True,lbfgs,7
44,0,0.003298,True,powell,3
44,1,7.055278,True,default,5
44,2,0.777199,True,default,1
44,3,5.232864,True,default,1
44,4,0.907967,True,default,2
44,5,-0.561352,True,default,5
44,6,0.118205,True,powell,2
44,7,0.144745,True,default,4
44,8,-inf,True,lbfgs,7
44,9,0.058996,True,powell,3
44,10,-inf,True,lbfgs,7
44,11,0.715886,True,default,4
44,12,0.3368,True,default,4
44,13,0.024198,True,default,5
44,14,0.039154,True,default,5
44,15,5.465408,True,default,4
44,16,0.136323,True,default,3
44,17,-inf,True,lbfgs,6
44,18,0.328195,True,default,4
44,19,0.108158,True,default,4
44,20,0.296903,True,powell,2
44,21,0.065761,True,default,3
44,22,3.037217,True,powell,3
44,23,0.308872,True,powell,3
44,24,0.127506,True,default,2
44,25,0.125693,True,default,1
44,26,1.344062,True,default,10
44,27,0.007179,True,default,6
44,28,-inf,True,lbfgs,7
44,29,0.751161,True,default,4
44,30,-inf,True,lbfgs,6
44,31,0.030685,True,default,2
44,32,0.069378,True,lbfgs,4
44,33,1.372851,True,default,2
44,34,-inf,True,lbfgs,7
44,35,0.112733,True,default,4
44,36,-inf,True,lbfgs,6
44,37,0.775504,True,powell,3
44,38,1.128683,True,default,1
44,39,0.021873,True,default,4
45,0,0.222412,True,powell,3
45,1,0.232646,True,powell,2
45,2,0.083498,True,default,4
45,3,0.177172,True,default,4
45,4,3.166537,True,powell,2
45,5,0.557893,True,default,4
45,6,-0.291449,True,default,5
45,7,-inf,True,lbfgs,7
45,8,0.924264,True,default,4
45,9,0.225993,True,default,5
45,10,3.131089,True,default,5
45,11,-inf,True,lbfgs,6
45,12,0.040669,True,default,5
45,13,1.352263,True,default,2
45,14,0.497829,True,default,4
45,15,0.018033,True,powell,2
45,16,0.45071,True,powell,2
45,17,0.820078,True,default,2
45,18,0.574847,True,default,2
45,19,0.029674,True,powell,2
45,20,-4.174573,True,default,4
45,21,-inf,True,lbfgs,6
45,22,-inf,True,lbfgs,7
45,23,-inf,True,lbfgs,7
45,24,-2.300125,True,default,4
45,25,3.175278,True,powell,3
45,26,-inf,True,lbfgs,7
45,27,0.194169,True,default,4
45,28,-inf,True,lbfgs,7
45,29,0.773287,True,default,2
45,30,7.78669,True,lbfgs,3
45,31,0.881172,True,powell,2
45,32,-inf,True,lbfgs,7
45,33,1.81048,True,default,3
45,34,2.266962,True,default,4
45,35,-inf,True,lbfgs,6
45,36,1.315131,True,default,10
45,37,-inf,True,lbfgs,7
45,38,-inf,True,lbfgs,7
45,39,0.216992,True,powell,3
46,0,0.199182,True,default,12
46,1,1.027626,True,default,4
46,2,2.574497,True,powell,3
46,3,-inf,True,lbfgs,7
46,4,-4e-06,True,default,4
46,5,-inf,True,lbfgs,7
46,6,-inf,True,lbfgs,7
46,7,-inf,True,lbfgs,7
46,8,0.014579,True,default,4
46,9,-inf,True,lbfgs,7
46,10,-inf,True,lbfgs,7
46,11,2.131893,True,default,4
46,12,-inf,True,lbfgs,6
46,13,1.111601,True,default,3
46,14,0.512956,True,powell,3
46,15,1.302482,True,default,4
46,16,0.038029,True,default,6
46,17,3.321366,True,default,4
46,18,2.950243,True,powell,3
46,19,1.827262,True,default,2
46,20,5.378211,True,default,2
46,21,0.688848,True,powell,3
46,22,-inf,True,lbfgs,7
46,23,0.014319,True,powell,3
46,24,0.561201,True,default,5
46,25,0.094282,True,default,2
46,26,0.279416,True,default,4
46,27,-inf,True,lbfgs,7
46,28,0.128494,True,default,2
46,29,-inf,True,lbfgs,7
46,30,-inf,True,lbfgs,6
46,31,2.179787,True,default,1
46,32,0.006767,True,powell,3
46,33,5.707702,True,default,1
46,34,0.909447,True,powell,3
46,35,0.763083,True,powell,2
46,36,-inf,True,lbfgs,7
46,37,-inf,True,lbfgs,7
46,38,0.650515,True,powell,2
46,39,0.000191,True,powell,3
